City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
609,Cururupu,BR,85.64,light rain,-1.83,-44.87,Pousada Través'cia
611,Methoni,GR,79.0,scattered clouds,36.82,21.7,Methoni Beach Hotel
612,Itauna,BR,78.8,scattered clouds,-20.08,-44.58,Pousada Vovó Eva
613,Manokwari,ID,78.89,overcast clouds,-0.87,134.08,Swiss Belhotel Manokwari
615,Puerto Carreno,CO,86.0,scattered clouds,6.19,-67.49,Casa Hotel Victoria
617,Asfi,MA,76.23,few clouds,32.3,-9.24,Hôtel Abda
620,Finschhafen,PG,77.59,scattered clouds,-6.6,147.87,Cossam Guest House
625,Serra,BR,75.2,few clouds,-20.13,-40.31,Interior do Estado do Espirito Santo
627,Wajir,KE,82.4,broken clouds,1.75,40.06,Al- Amin lodge
628,La Palma,US,82.99,few clouds,33.85,-118.05,La Quinta Inn & Suites by Wyndham Buena Park
629,Nanakuli,US,80.6,few clouds,21.39,-158.15,Camp Palehua
631,Diffa,NE,87.08,broken clouds,13.32,12.61,ProDAF/Diffa
632,Kapoeta,SS,79.07,few clouds,4.77,33.59,Eastgate Hotel
635,Kuching,MY,75.2,light rain,1.55,110.33,Hilton Kuching
637,Nioro,GM,79.02,overcast clouds,13.35,-15.75,np.nan
639,Salaga,GH,80.28,broken clouds,8.55,-0.52,Maridon Lodge
643,Pierre,US,79.0,broken clouds,44.37,-100.35,Ramkota Hotel
645,Viransehir,TR,89.89,clear sky,37.24,39.76,Viranşehir Öğretmenevi
647,Christiansburg,US,84.0,scattered clouds,37.13,-80.41,Hampton Inn Christiansburg/Blacksburg
652,Marsa Matruh,EG,82.4,clear sky,31.35,27.25,Beau Site
663,Eyl,SO,79.81,broken clouds,7.98,49.82,Amiin Hotel
